query,sql
Online access and Labor force participation rate by sex and age of Chad since 2015,"SELECT online_access , labor_force_participation_rate_by_sex_and_age FROM spi_index_labelled_vFinal WHERE date > 2015 AND country = 'Chad'"
Top 15 countries by No Poverty,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'no_poverty' DESC LIMIT 15
Show me SDDS/e-GDDS subscription of Mexico before 2019.,SELECT sdds/e-gdds_subscription FROM spi_index_labelled_vFinal WHERE date < 2019 AND country = 'Mexico'
What is the Data Use Score and Data Use Score of Barbados since 2010.,"SELECT data_use_score , data_use_score FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'Barbados'"
Countries having Metadata Available Score between 0.4 and 0.8 in 2018,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.4 AND metadata_available_score < 0.8 AND date = 2018
What is the count of Compilation of government finance statistics in East Asia & Pacific in 2015?,SELECT count(compilation_of_government_finance_statistics) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2015
Find the Business/establishment census of Colombia before 2013.,SELECT business/establishment_census FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Colombia'
Find the count CPI base year by region?,"SELECT count(cpi_base_year), region FROM spi_index_labelled_vFinal GROUP BY region"
Top 48 countries by Safely Managed Drinking Water,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'safely_managed_drinking_water' DESC LIMIT 48
maximum Quality Education by region?,"SELECT max(quality_education), region FROM spi_index_labelled_vFinal GROUP BY region"
Metadata Available Score of Rwanda in 2015,SELECT metadata_available_score FROM spi_index_labelled_vFinal WHERE country = 'Rwanda' AND date = 2015
Show me Non_Proprietary format Score of Uzbekistan in 2012?,SELECT non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE country = 'Uzbekistan' AND date = 2012
Labor force participation rate by sex and age and Labor Force Survey of San Marino since 2017,"SELECT labor_force_participation_rate_by_sex_and_age , labor_force_survey FROM spi_index_labelled_vFinal WHERE date > 2017 AND country = 'San Marino'"
List of Countries having Download Options Score between 0.5 and 0.7?,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.5 AND download_options_score < 0.7
total of Institutional Statistics,SELECT sum(institutional_statistics) FROM spi_index_labelled_vFinal
What is the average of Institutional Statistics in Latin America & Caribbean,SELECT avg(institutional_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
"maximum Industry, Innovation and Infrastructure by region","SELECT max(industry_innovation_and_infrastructure), region FROM spi_index_labelled_vFinal GROUP BY region"
List of Countries having Non_Proprietary format Score between 0.1 and 0.9?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.1 AND non_proprietary_format_score < 0.9
List of Data Service Score of Kuwait in 2018.,SELECT data_service_score FROM spi_index_labelled_vFinal WHERE country = 'Kuwait' AND date = 2018
Find the Countries having Metadata Available Score between 0.2 and 0.9.,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.2 AND metadata_available_score < 0.9
Countries having Data Use Score between 5 and 7 in 2017?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 5 AND data_use_score < 7 AND date = 2017
List Countries having Machine Readability Score between 0.1 and 0.9.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.1 AND machine_readability_score < 0.9
minimum No Poverty by region?,"SELECT min(no_poverty), region FROM spi_index_labelled_vFinal GROUP BY region"
Show me maximum of Sustainable Cities and Communities in Sub-Saharan Africa in 2011?,SELECT max(sustainable_cities_and_communities) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2011
"Household Survey on income, etc and Agriculture census of Somalia since 2015?","SELECT household_survey_on_income_etc , agriculture_census FROM spi_index_labelled_vFinal WHERE date > 2015 AND country = 'Somalia'"
Top 42 countries by Clean Water and Sanitation?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'clean_water_and_sanitation' DESC LIMIT 42
count of Data Releases in Europe & Central Asia,SELECT count(data_releases) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
Find the weights and Compilation of government finance statistics of Chad since 2014,"SELECT weights , compilation_of_government_finance_statistics FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Chad'"
average of population.,SELECT avg(population) FROM spi_index_labelled_vFinal
Countries having Machine Readability Score between 0.0 and 0.1 in 2010.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.1 AND date = 2010
List minimum of Legislation Indicator based on PARIS21 indicators on SDG 17.18.2 in 2011,SELECT min(legislation_indicator_based_on_paris21_indicators_on_sdg_17.18.2) FROM spi_index_labelled_vFinal WHERE date = 2011
minimum Decent Work and Economic Growth by region?,"SELECT min(decent_work_and_economic_growth), region FROM spi_index_labelled_vFinal GROUP BY region"
List of Countries having Download Options Score between 0.0 and 0.1 in 2004.,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.0 AND download_options_score < 0.1 AND date = 2004
minimum Labor Force Survey by region,"SELECT min(labor_force_survey), region FROM spi_index_labelled_vFinal GROUP BY region"
maximum of Compilation of government finance statistics in North America in 2014,SELECT max(compilation_of_government_finance_statistics) FROM spi_index_labelled_vFinal WHERE region = 'North America' AND date = 2014
List of Reduced Inequality of Luxembourg before 2009,SELECT reduced_inequality FROM spi_index_labelled_vFinal WHERE date < 2009 AND country = 'Luxembourg'
Download Options Score of Bulgaria in 2019.,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Bulgaria' AND date = 2019
List of Top 41 countries by Legislation and governance,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'legislation_and_governance' DESC LIMIT 41
maximum of Data use by international organizations in Middle East & North Africa?,SELECT max(data_use_by_international_organizations) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa'
What is the count of Censuses only in 2019?,SELECT count(censuses_only) FROM spi_index_labelled_vFinal WHERE date = 2019
Show me iso3c of French Polynesia before 2016,SELECT iso3c FROM spi_index_labelled_vFinal WHERE date < 2016 AND country = 'French Polynesia'
Health/Demographic survey and Quality Education of Kiribati since 2019,"SELECT health/demographic_survey , quality_education FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Kiribati'"
Agriculture census and Partnerships to achieve the Goal of Chad since 2008?,"SELECT agriculture_census , partnerships_to_achieve_the_goal FROM spi_index_labelled_vFinal WHERE date > 2008 AND country = 'Chad'"
Business/establishment survey and Health/Demographic survey of Madagascar since 2007?,"SELECT business/establishment_survey , health/demographic_survey FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'Madagascar'"
List of Gender Equality of Togo after 2018.,SELECT gender_equality FROM spi_index_labelled_vFinal WHERE date > 2018 AND country ='Togo'
Tell me the Countries having Data Use Score between 25 and 33 in 2018.,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 25 AND data_use_score < 33 AND date = 2018
total of Administrative Data in Sub-Saharan Africa?,SELECT sum(administrative_data) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
minimum of Economic Statistics in 2011,SELECT min(economic_statistics) FROM spi_index_labelled_vFinal WHERE date = 2011
Labor Force Survey of Montenegro before 2014?,SELECT labor_force_survey FROM spi_index_labelled_vFinal WHERE date < 2014 AND country = 'Montenegro'
Find the Zero Hunger and iso3c of Bulgaria since 2006,"SELECT zero_hunger , iso3c FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Bulgaria'"
Countries having SPI Overall Score between 3 and 5 in 2005?,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 3 AND spi_overall_score < 5 AND date = 2005
average of Zero Hunger in Europe & Central Asia in 2004?,SELECT avg(zero_hunger) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2004
Find the total of Life on Land in Europe & Central Asia in 2015?,SELECT sum(life_on_land) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2015
Reduced Inequality and Data Releases of Papua New Guinea since 2013,"SELECT reduced_inequality , data_releases FROM spi_index_labelled_vFinal WHERE date > 2013 AND country = 'Papua New Guinea'"
List of SDDS/e-GDDS subscription of Sri Lanka after 2008?,SELECT sdds/e-gdds_subscription FROM spi_index_labelled_vFinal WHERE date > 2008 AND country ='Sri Lanka'
Countries having Data Sources Score between 21 and 53,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 21 AND data_sources_score < 53
Show me Data Sources Score and Data Sources Score of Sri Lanka since 2011?,"SELECT data_sources_score , data_sources_score FROM spi_index_labelled_vFinal WHERE date > 2011 AND country = 'Sri Lanka'"
Non_Proprietary format Score and SPI Overall Score of Czech Republic since 2013,"SELECT non_proprietary_format_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2013 AND country = 'Czech Republic'"
count of Gender Equality in Europe & Central Asia in 2014?,SELECT count(gender_equality) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2014
List of maximum of Quality Education in 2010,SELECT max(quality_education) FROM spi_index_labelled_vFinal WHERE date = 2010
maximum Online access by region?,"SELECT max(online_access), region FROM spi_index_labelled_vFinal GROUP BY region"
List of minimum of Institutional Statistics in Latin America & Caribbean in 2015.,SELECT min(institutional_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2015
List Zero Hunger of Ghana in 2012.,SELECT zero_hunger FROM spi_index_labelled_vFinal WHERE country = 'Ghana' AND date = 2012
Countries having Data Use Score between 23 and 30 in 2015.,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 23 AND data_use_score < 30 AND date = 2015
average of Censuses only in Latin America & Caribbean in 2012?,SELECT avg(censuses_only) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2012
Countries having Data Infrastructure Score between 70 and 76 in 2007.,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 70 AND data_infrastructure_score < 76 AND date = 2007
"maximum of Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME in East Asia & Pacific.",SELECT max(availability_of_mortality_rate_under-5_(per_1000_live_births)_data_meeting_quality_standards_according_to_un_igme) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific'
count Agriculture census by region.,"SELECT count(agriculture_census), region FROM spi_index_labelled_vFinal GROUP BY region"
minimum of NADA metadata.,SELECT min(nada_metadata) FROM spi_index_labelled_vFinal
Top 89 countries by Legislation and governance.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'legislation_and_governance' DESC LIMIT 89
Countries having Data Sources Score between 4 and 5 in 2018,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 4 AND data_sources_score < 5 AND date = 2018
total of Labor force participation rate by sex and age in Latin America & Caribbean?,SELECT sum(labor_force_participation_rate_by_sex_and_age) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
ODIN Open Data Openness Score and Data Products Score of St. Vincent and the Grenadines since 2018?,"SELECT odin_open_data_openness_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2018 AND country = 'St. Vincent and the Grenadines'"
Find the Countries having Data Service Score between 5 and 39,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 5 AND data_service_score < 39
Countries having Metadata Available Score between 0.0 and 0.1?,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.0 AND metadata_available_score < 0.1
Sustainable Cities and Communities of Zimbabwe in 2004.,SELECT sustainable_cities_and_communities FROM spi_index_labelled_vFinal WHERE country = 'Zimbabwe' AND date = 2004
"List Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME of Latvia in 2016.",SELECT availability_of_mortality_rate_under-5_(per_1000_live_births)_data_meeting_quality_standards_according_to_un_igme FROM spi_index_labelled_vFinal WHERE country = 'Latvia' AND date = 2016
total of Social Statistics?,SELECT sum(social_statistics) FROM spi_index_labelled_vFinal
ODIN Open Data Openness Score of Tonga in 2012.,SELECT odin_open_data_openness_score FROM spi_index_labelled_vFinal WHERE country = 'Tonga' AND date = 2012
"total Industry, Innovation and Infrastructure by region.","SELECT sum(industry_innovation_and_infrastructure), region FROM spi_index_labelled_vFinal GROUP BY region"
Show me Countries having Data Products Score between 55 and 97 in 2019,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 55 AND data_products_score < 97 AND date = 2019
total of Safely Managed Drinking Water,SELECT sum(safely_managed_drinking_water) FROM spi_index_labelled_vFinal
Partnerships to achieve the Goal of Libya before 2017.,SELECT partnerships_to_achieve_the_goal FROM spi_index_labelled_vFinal WHERE date < 2017 AND country = 'Libya'
Countries having Metadata Available Score between 0.0 and 0.1 in 2013.,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.0 AND metadata_available_score < 0.1 AND date = 2013
average of Online access in Latin America & Caribbean,SELECT avg(online_access) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
Find the Quality of Debt service data according to World Bank of Argentina before 2013,SELECT quality_of_debt_service_data_according_to_world_bank FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Argentina'
List Agriculture census and Health/Demographic survey of Bosnia and Herzegovina since 2011.,"SELECT agriculture_census , health/demographic_survey FROM spi_index_labelled_vFinal WHERE date > 2011 AND country = 'Bosnia and Herzegovina'"
CPI base year of El Salvador after 2006?,SELECT cpi_base_year FROM spi_index_labelled_vFinal WHERE date > 2006 AND country ='El Salvador'
maximum of No Poverty?,SELECT max(no_poverty) FROM spi_index_labelled_vFinal
Tell me the Climate Action and Labor Force Survey of Solomon Islands since 2006?,"SELECT climate_action , labor_force_survey FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Solomon Islands'"
Countries having Data Products Score between 42 and 81.,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 42 AND data_products_score < 81
List Data Sources Score and Data Infrastructure Score of Poland since 2012,"SELECT data_sources_score , data_infrastructure_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Poland'"
Top 93 countries by Compilation of monetary and financial statistics.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'compilation_of_monetary_and_financial_statistics' DESC LIMIT 93
List of Download Options Score of Dominica in 2015,SELECT download_options_score FROM spi_index_labelled_vFinal WHERE country = 'Dominica' AND date = 2015
Find the Countries having SPI Overall Score between 19 and 58,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 19 AND spi_overall_score < 58
average of iso3c in East Asia & Pacific in 2006.,SELECT avg(iso3c) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2006
Show me Top 74 countries by Health/Demographic survey?,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'health/demographic_survey' DESC LIMIT 74
List Top 73 countries by Data services.,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'data_services' DESC LIMIT 73
"Find the count Industry, Innovation and Infrastructure by region","SELECT count(industry_innovation_and_infrastructure), region FROM spi_index_labelled_vFinal GROUP BY region"
maximum of Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1 in 2004.,SELECT max(finance_indicator_based_on_paris21_indicators_on_sdg_17.18.3_&_sdg_17.19.1) FROM spi_index_labelled_vFinal WHERE date = 2004
Tell me the Countries having Terms of Use Score between 0.2 and 0.3?,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.2 AND terms_of_use_score < 0.3
Machine Readability Score and Data Infrastructure Score of Djibouti since 2017?,"SELECT machine_readability_score , data_infrastructure_score FROM spi_index_labelled_vFinal WHERE date > 2017 AND country = 'Djibouti'"
Tell me the minimum of Good Health and Well-being in 2019.,SELECT min(good_health_and_well-being) FROM spi_index_labelled_vFinal WHERE date = 2019
What is the Data Sources Score of Bermuda in 2007,SELECT data_sources_score FROM spi_index_labelled_vFinal WHERE country = 'Bermuda' AND date = 2007
Classification of status of employment of Romania after 2009,SELECT classification_of_status_of_employment FROM spi_index_labelled_vFinal WHERE date > 2009 AND country ='Romania'
Find the Machine Readability Score and Data Products Score of Madagascar since 2009.,"SELECT machine_readability_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Madagascar'"
"Industry, Innovation and Infrastructure and Social Statistics of Czech Republic since 2006","SELECT industry_innovation_and_infrastructure , social_statistics FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'Czech Republic'"
Show me average of Life on Land in 2007.,SELECT avg(life_on_land) FROM spi_index_labelled_vFinal WHERE date = 2007
Responsible Consumption and Production of Turkey in 2011.,SELECT responsible_consumption_and_production FROM spi_index_labelled_vFinal WHERE country = 'Turkey' AND date = 2011
Countries having Data Use Score between 7 and 19 in 2009?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 7 AND data_use_score < 19 AND date = 2009
Countries having Non_Proprietary format Score between 0.0 and 0.2?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.0 AND non_proprietary_format_score < 0.2
Countries having Data Products Score between 25 and 88,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 25 AND data_products_score < 88
average of Clean Water and Sanitation in South Asia in 2008.,SELECT avg(clean_water_and_sanitation) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2008
Safely Managed Drinking Water of Vanuatu before 2006?,SELECT safely_managed_drinking_water FROM spi_index_labelled_vFinal WHERE date < 2006 AND country = 'Vanuatu'
List of Top 20 countries by Gender Equality,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'gender_equality' DESC LIMIT 20
List Data services of Somalia before 2006.,SELECT data_services FROM spi_index_labelled_vFinal WHERE date < 2006 AND country = 'Somalia'
Data Use Score of Singapore in 2014?,SELECT data_use_score FROM spi_index_labelled_vFinal WHERE country = 'Singapore' AND date = 2014
List Social Statistics of Zimbabwe in 2011?,SELECT social_statistics FROM spi_index_labelled_vFinal WHERE country = 'Zimbabwe' AND date = 2011
Countries having ODIN Open Data Openness Score between 0.0 and 0.2.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.2
List Affordable and Clean Energy of Uruguay after 2006.,SELECT affordable_and_clean_energy FROM spi_index_labelled_vFinal WHERE date > 2006 AND country ='Uruguay'
What is the Countries having Data Sources Score between 23 and 50 in 2011?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 23 AND data_sources_score < 50 AND date = 2011
Countries having ODIN Open Data Openness Score between 0.1 and 0.4.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.1 AND odin_open_data_openness_score < 0.4
Find the Countries having Data Use Score between 35 and 58 in 2013.,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 35 AND data_use_score < 58 AND date = 2013
minimum Classification of status of employment by region.,"SELECT min(classification_of_status_of_employment), region FROM spi_index_labelled_vFinal GROUP BY region"
Central government accounting status of Romania in 2019?,SELECT central_government_accounting_status FROM spi_index_labelled_vFinal WHERE country = 'Romania' AND date = 2019
No Poverty of Solomon Islands before 2017.,SELECT no_poverty FROM spi_index_labelled_vFinal WHERE date < 2017 AND country = 'Solomon Islands'
"No Poverty of Hong Kong SAR, China after 2014?","SELECT no_poverty FROM spi_index_labelled_vFinal WHERE date > 2014 AND country ='Hong Kong SAR, China'"
maximum of Surveys only in South Asia in 2012.,SELECT max(surveys_only) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2012
Tell me the Countries having SPI Overall Score between 17 and 28,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 17 AND spi_overall_score < 28
What is the minimum of Decent Work and Economic Growth in 2012.,SELECT min(decent_work_and_economic_growth) FROM spi_index_labelled_vFinal WHERE date = 2012
Compilation of monetary and financial statistics and Standards and Methods of Romania since 2015,"SELECT compilation_of_monetary_and_financial_statistics , standards_and_methods FROM spi_index_labelled_vFinal WHERE date > 2015 AND country = 'Romania'"
count of Safely Managed Drinking Water in North America.,SELECT count(safely_managed_drinking_water) FROM spi_index_labelled_vFinal WHERE region = 'North America'
Safely Managed Drinking Water of San Marino in 2004.,SELECT safely_managed_drinking_water FROM spi_index_labelled_vFinal WHERE country = 'San Marino' AND date = 2004
average of Gender Equality.,SELECT avg(gender_equality) FROM spi_index_labelled_vFinal
count of Economic Statistics.,SELECT count(economic_statistics) FROM spi_index_labelled_vFinal
Countries having Machine Readability Score between 0.0 and 0.1,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.1
Countries having Data Infrastructure Score between 17 and 93?,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 17 AND data_infrastructure_score < 93
Show me Data Service Score and SPI Overall Score of Suriname since 2017,"SELECT data_service_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2017 AND country = 'Suriname'"
Countries having Data Service Score between 10 and 89 in 2004.,SELECT country FROM spi_index_labelled_vFinal WHERE data_service_score > 10 AND data_service_score < 89 AND date = 2004
Countries having Non_Proprietary format Score between 0.7 and 0.8 in 2006?,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.7 AND non_proprietary_format_score < 0.8 AND date = 2006
"Industry, Innovation and Infrastructure of Lithuania before 2015?",SELECT industry_innovation_and_infrastructure FROM spi_index_labelled_vFinal WHERE date < 2015 AND country = 'Lithuania'
What is the ODIN Open Data Openness Score and Terms of Use Score of Algeria since 2012,"SELECT odin_open_data_openness_score , terms_of_use_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Algeria'"
"Data Sources Score of Korea, Rep. in 2018.","SELECT data_sources_score FROM spi_index_labelled_vFinal WHERE country = 'Korea, Rep.' AND date = 2018"
total of Geospatial Data,SELECT sum(geospatial_data) FROM spi_index_labelled_vFinal
count of Compilation of monetary and financial statistics?,SELECT count(compilation_of_monetary_and_financial_statistics) FROM spi_index_labelled_vFinal
average of Availability of Comparable Poverty headcount ratio at 1.90 a day.,SELECT avg(availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day) FROM spi_index_labelled_vFinal
Countries having Non_Proprietary format Score between 0.1 and 0.7 in 2005,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.1 AND non_proprietary_format_score < 0.7 AND date = 2005
average Agriculture survey by region.,"SELECT avg(agriculture_survey), region FROM spi_index_labelled_vFinal GROUP BY region"
Tell me the count of No Poverty in North America.,SELECT count(no_poverty) FROM spi_index_labelled_vFinal WHERE region = 'North America'
Non_Proprietary format Score of St. Kitts and Nevis in 2013.,SELECT non_proprietary_format_score FROM spi_index_labelled_vFinal WHERE country = 'St. Kitts and Nevis' AND date = 2013
List of Availability of Comparable Poverty headcount ratio at 1.90 a day of French Polynesia in 2013,SELECT availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day FROM spi_index_labelled_vFinal WHERE country = 'French Polynesia' AND date = 2013
Show me Countries having Download Options Score between 0.1 and 0.5 in 2019.,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.1 AND download_options_score < 0.5 AND date = 2019
Tell me the Terms of Use Score and Machine Readability Score of Bosnia and Herzegovina since 2012?,"SELECT terms_of_use_score , machine_readability_score FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Bosnia and Herzegovina'"
"List Metadata Available Score of Micronesia, Fed. Sts. in 2006?","SELECT metadata_available_score FROM spi_index_labelled_vFinal WHERE country = 'Micronesia, Fed. Sts.' AND date = 2006"
count iso3c by region.,"SELECT count(iso3c), region FROM spi_index_labelled_vFinal GROUP BY region"
What is the Countries having Data Infrastructure Score between 38 and 55?,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 38 AND data_infrastructure_score < 55
minimum Classification of national industry by region?,"SELECT min(classification_of_national_industry), region FROM spi_index_labelled_vFinal GROUP BY region"
List of Countries having Metadata Available Score between 0.2 and 0.8,SELECT country FROM spi_index_labelled_vFinal WHERE metadata_available_score > 0.2 AND metadata_available_score < 0.8
What is the Countries having ODIN Open Data Openness Score between 0.2 and 0.8,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.2 AND odin_open_data_openness_score < 0.8
List of Countries having Non_Proprietary format Score between 0.3 and 0.9 in 2004,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.3 AND non_proprietary_format_score < 0.9 AND date = 2004
Countries having Data Products Score between 3 and 43.,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 3 AND data_products_score < 43
List Countries having ODIN Open Data Openness Score between 0.0 and 0.1.,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.1
total of Clean Water and Sanitation,SELECT sum(clean_water_and_sanitation) FROM spi_index_labelled_vFinal
Agriculture survey of Liberia in 2005?,SELECT agriculture_survey FROM spi_index_labelled_vFinal WHERE country = 'Liberia' AND date = 2005
Show me Classification of status of employment of Ukraine after 2018,SELECT classification_of_status_of_employment FROM spi_index_labelled_vFinal WHERE date > 2018 AND country ='Ukraine'
What is the Data Infrastructure Score of North Macedonia in 2014.,SELECT data_infrastructure_score FROM spi_index_labelled_vFinal WHERE country = 'North Macedonia' AND date = 2014
Countries having Terms of Use Score between 0.0 and 0.3 in 2019?,SELECT country FROM spi_index_labelled_vFinal WHERE terms_of_use_score > 0.0 AND terms_of_use_score < 0.3 AND date = 2019
List of count of Institutional Statistics in Sub-Saharan Africa in 2018.,SELECT count(institutional_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa' AND date = 2018
maximum of Business/establishment survey in Europe & Central Asia?,SELECT max(business/establishment_survey) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia'
List Health/Demographic survey and CRVS (WDI) of Sint Maarten (Dutch part) since 2012?,"SELECT health/demographic_survey , crvs_(wdi) FROM spi_index_labelled_vFinal WHERE date > 2012 AND country = 'Sint Maarten (Dutch part)'"
Economic Statistics of Comoros in 2007?,SELECT economic_statistics FROM spi_index_labelled_vFinal WHERE country = 'Comoros' AND date = 2007
average of Data Releases in 2018.,SELECT avg(data_releases) FROM spi_index_labelled_vFinal WHERE date = 2018
Countries having Data Sources Score between 58 and 69,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 58 AND data_sources_score < 69
Tell me the Availability of Comparable Poverty headcount ratio at 1.90 a day of Papua New Guinea in 2014,SELECT availability_of_comparable_poverty_headcount_ratio_at_1.90_a_day FROM spi_index_labelled_vFinal WHERE country = 'Papua New Guinea' AND date = 2014
Countries having Non_Proprietary format Score between 0.0 and 0.1,SELECT country FROM spi_index_labelled_vFinal WHERE non_proprietary_format_score > 0.0 AND non_proprietary_format_score < 0.1
minimum of Compilation of government finance statistics?,SELECT min(compilation_of_government_finance_statistics) FROM spi_index_labelled_vFinal
Good Health and Well-being of Madagascar before 2013.,SELECT good_health_and_well-being FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Madagascar'
total of Quality of Debt service data according to World Bank in Latin America & Caribbean.,SELECT sum(quality_of_debt_service_data_according_to_world_bank) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
SDDS/e-GDDS subscription of Aruba after 2019.,SELECT sdds/e-gdds_subscription FROM spi_index_labelled_vFinal WHERE date > 2019 AND country ='Aruba'
count of Partnerships to achieve the Goal in East Asia & Pacific in 2010.,SELECT count(partnerships_to_achieve_the_goal) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2010
count of No Poverty in Sub-Saharan Africa,SELECT count(no_poverty) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
Show me Data Sources Score of North Macedonia in 2016?,SELECT data_sources_score FROM spi_index_labelled_vFinal WHERE country = 'North Macedonia' AND date = 2016
